"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,-35.79738219,171.51848154,431.9,123.7,-49.75,271.45272133,-34.74422216,1629696602,FALSE
"MARS ORBITER MISSION",39370,50,270,-144.24865514,-6399.59,360,-89.89,312.41828139,-17.34764295,1629696603,FALSE
"RESOURCESAT 2",37387,50,71.81369607,101.0464914,832.06,8.34,-21.48,300.38171958,50.19707439,1629696604,FALSE
"YOUTHSAT",37388,51,26.1057059,-144.2748589,811.72,44.69,-57.96,290.42819837,6.04937672,1629696605,FALSE
"SWAYAM",41607,51,-71.6906851,32.56803624,522.4,193.17,-45.13,331.25181973,-60.26502878,1629696606,FALSE
"CARTOSAT 2AT",29710,51,-77.29644547,48.83114155,579,186.33,-45.98,321.39566069,-61.04502729,1629696607,FALSE
"OCEANSAT 2",35931,51,-54.0682926,-72.3966526,745.38,204.97,-67.37,324.22688549,-37.61535811,1629696608,TRUE
"IRNSS-1A",39199,51,10.11699304,52.4925421,35859.25,257.39,59.36,102.24181194,8.6914396,1629696609,FALSE
"INS-1A",41949,50,29.15617533,66.64195125,486.61,319.35,6.67,32.23297127,48.98874066,1629696611,FALSE
"KALAMSAT-V2/PSLV",43948,50,-72.93851466,87.36536299,465.46,177.38,-43.33,307.87477963,-64.05333114,1629696612,FALSE
"CHINASAT 2E",49062,50,4.05507713,148.80242476,35130.5,91.99,11.31,211.10398842,1.59955415,1629696613,FALSE
"COSMOS 2550",48865,50,-67.23487108,-120.54424519,483.57,170.62,-63.46,306.59525542,-43.54123553,1629696614,TRUE
"CHALLENGEONE",47956,50,-81.30334787,-157.85073577,594.77,172.13,-54.42,304.87444425,-52.50257757,1629696616,FALSE
"CALSPHERE 1",900,50,-14.65569035,-18.67851058,1010.28,258.09,-47.02,357.96290669,-20.81417277,1629696617,FALSE
"HISPASAT 1D",27528,50,-0.03428189,-142.97476284,35798.22,71.34,-51.13,275.97927439,-2.35382809,1629696618,FALSE
"INTEGRAL",27540,49,59.16476746,157.53455526,130871.32,32.49,17.91,216.6344478,59.16900013,1629696620,FALSE
